title,genre,year,rating,votes,director,duration_min,country,box_office_million
The Conjuring,Fantasy,2004,4.7,1923973,Sam Raimi,91,Canada,1920.85
Aquaman,Romance,1995,4.5,1614569,Martin Scorsese,121,Australia,1971.94
Zootopia,Adventure,2013,8.3,2263060,Steven Spielberg,87,Canada,908.19
Inception,Action,2009,7.2,2418298,Ryan Coogler,159,UK,2495.93
Thor: Love and Thunder,Romance,2011,4.7,4217752,James Cameron,153,Japan,1174.82
Blade Runner 2049,Action,1998,4.7,1311582,Ridley Scott,115,Germany,1061.29
Ant-Man,Horror,2014,7.9,2549829,Christopher Nolan,172,South Korea,794.7
Get Out,Adventure,1988,8.4,1510047,Greta Gerwig,131,Australia,207.13
Hereditary,Action,1990,6.8,1680031,Denis Villeneuve,99,USA,2367.28
Parasite,Drama,1996,9.2,2591677,Ridley Scott,207,Germany,1467.85
Insidious,Romance,2002,5.4,879712,Ridley Scott,90,South Korea,2476.57
Avatar,Drama,2022,7.5,19009,Steven Spielberg,157,Spain,2159.23
Doctor Strange,Adventure,1996,6,387584,Ridley Scott,88,Spain,984.85
Shutter Island,Fantasy,2020,7.6,76688,Denis Villeneuve,120,Australia,1917.44
Memento,Adventure,2002,7.9,649389,Christopher Nolan,141,Australia,2132.18
Zootopia,Sci-Fi,2009,9.8,394770,Steven Spielberg,89,India,1951.52
Blue Beetle,Animation,1991,6.4,3096783,Ryan Coogler,164,South Korea,2479.15
Big Hero 6,Drama,2000,4.8,3731800,Peter Jackson,131,Canada,1812.42
Up,Animation,1985,7.6,2866413,James Cameron,129,Germany,2342.96
A Quiet Place,Drama,2010,9.3,849250,Christopher Nolan,98,India,440.62
Doctor Strange: Multiverse of Madness,Animation,1981,9.1,1030705,Christopher Nolan,159,France,388.13
Coco,Adventure,2014,9.4,2544468,Peter Jackson,182,Australia,53.24
Doctor Strange: Multiverse of Madness,Sci-Fi,1986,6.3,2989573,Ryan Coogler,206,USA,1092.01
Catch Me If You Can,Romance,2017,5.9,91013,Martin Scorsese,133,Australia,2137.32
Arrival,Action,1988,6.5,4101796,Patty Jenkins,160,India,2311.7
The Dark Knight,Adventure,1984,6.7,247190,Denis Villeneuve,183,Spain,572.34
The Departed,Animation,1986,6.9,3457253,Sam Raimi,193,USA,2060.04
The Conjuring,Sci-Fi,1998,4.7,256380,Peter Jackson,180,Japan,516.96
Interstellar,Action,1999,5.7,2320417,Zack Snyder,176,Germany,1559.4
Moana,Animation,1996,7.9,3659678,Zack Snyder,148,Australia,317.58
Man of Steel,Horror,2012,5.5,1937350,Ridley Scott,161,South Korea,759.2
Dune,Comedy,2001,6,4486812,Denis Villeneuve,107,India,2365.16
Captain America: Civil War,Drama,2006,4.6,243605,Tim Burton,142,India,668.76
Thor: Love and Thunder,Adventure,2007,7.9,2769143,Ryan Coogler,89,USA,516.39
The Godfather,Horror,2008,7.8,843633,Christopher Nolan,177,Australia,718.74
The Godfather,Sci-Fi,2007,8.6,4606611,Denis Villeneuve,123,Germany,1681.84
Insidious,Drama,2008,7.4,3237206,Greta Gerwig,171,South Korea,2678.95
Doctor Strange: Multiverse of Madness,Fantasy,1982,8.8,3401628,Denis Villeneuve,88,Australia,368.55
Shrek,Sci-Fi,2003,8.1,4828785,Ryan Coogler,120,Japan,1322.06
Frozen II,Sci-Fi,2013,5,3207209,Zack Snyder,145,India,2281.88
Parasite,Sci-Fi,2007,4.8,951588,Steven Spielberg,168,Australia,2625.86
The Flash,Sci-Fi,1984,7.2,3341975,Christopher Nolan,132,Australia,1930.59
Pulp Fiction,Romance,2010,9.1,4131779,Patty Jenkins,98,Germany,2738.89
Encanto,Thriller,1988,8.9,2585808,Robert Zemeckis,174,South Korea,506.66
Ant-Man,Romance,1986,8.2,1695868,Quentin Tarantino,167,France,499.87
The Social Network,Sci-Fi,1989,9.5,2861449,Denis Villeneuve,102,Australia,387.69
Superman,Horror,2007,7,747642,Robert Zemeckis,175,Japan,2589.48
Django Unchained,Fantasy,2007,5.3,3781347,Denis Villeneuve,129,UK,635.15
Memento,Sci-Fi,1989,7.4,3582443,Sam Raimi,180,USA,2082.58
The Prestige,Horror,2003,6.5,4990841,Sam Raimi,124,USA,1052.88
Inception,Sci-Fi,1994,6.7,4599911,Tim Burton,89,USA,569.79
Black Panther,Thriller,1982,6.5,828684,Ryan Coogler,111,Australia,2023.45
Twilight,Romance,2006,4.8,2881267,Ryan Coogler,140,Canada,243.68
Get Out,Sci-Fi,2004,9.3,4975200,Ridley Scott,115,France,1680.78
X-Men: Days of Future Past,Adventure,2012,4.6,3345667,Martin Scorsese,110,South Korea,406.92
The Exorcist,Action,1996,9.5,131544,Christopher Nolan,120,UK,1690.16
Aquaman,Horror,2014,4.6,2440517,Zack Snyder,161,Spain,696.86
Wonder Woman,Comedy,1980,8.1,198098,Martin Scorsese,193,USA,1801.81
The Revenant,Adventure,1993,5,884784,Sam Raimi,136,Canada,2042.12
The Incredibles,Action,2018,9.4,3222477,Denis Villeneuve,121,Germany,651.54
Guardians of the Galaxy,Action,1992,8.9,1286483,Quentin Tarantino,180,Canada,1725.45
The Incredibles,Drama,2018,8.7,4330681,Ryan Coogler,131,Japan,374.42
Kung Fu Panda,Comedy,2022,8.4,2629285,Sam Raimi,207,South Korea,600.35
The Prestige,Adventure,2022,4.9,2392320,Patty Jenkins,160,France,1913.52
Insidious,Animation,1981,8.1,4027280,Christopher Nolan,210,Japan,2516.5
Captain America: Civil War,Animation,2013,9.5,2882357,Patty Jenkins,100,Canada,1796.18
Barbie,Fantasy,2007,6.9,1317057,Greta Gerwig,155,Australia,1474.69
Schindler's List,Drama,1996,9,1866401,Robert Zemeckis,147,USA,2718.66
Coco,Comedy,2003,6,3181805,Steven Spielberg,209,France,219.1
Deadpool,Action,2016,9.3,4060847,Christopher Nolan,195,Australia,1234.24
Forrest Gump,Fantasy,2013,7.6,4510209,Greta Gerwig,119,South Korea,69.4
Joker,Animation,2015,7.4,3836082,Steven Spielberg,121,Spain,2036.33
Ant-Man,Drama,2023,6.9,2415282,Zack Snyder,88,Japan,1850.28
Doctor Strange,Drama,2017,4.5,3353850,Patty Jenkins,158,UK,2066.79
It Chapter Two,Sci-Fi,1987,8.7,2736284,Ryan Coogler,168,France,2150.54
Blade Runner 2049,Fantasy,2011,5,106823,Sam Raimi,90,USA,2373.61
Memento,Romance,1994,8.8,4504432,Denis Villeneuve,131,France,329.36
Birdman,Animation,2003,9.7,1449157,Patty Jenkins,138,Japan,2479.33
Frozen II,Horror,2019,9.3,4682031,Quentin Tarantino,101,India,371.53
Gladiator,Adventure,1995,9.2,1927589,Sam Raimi,91,France,1163.3
Big Hero 6,Sci-Fi,2023,9.5,2818158,Patty Jenkins,81,Spain,1363
Memento,Horror,2021,7.4,1439048,Robert Zemeckis,128,Spain,2604.78
Kung Fu Panda,Action,1991,5.5,898757,Ridley Scott,184,South Korea,1088.35
Wonder Woman,Adventure,2023,6.3,1690409,Peter Jackson,132,Japan,354.28
Ant-Man,Thriller,2010,6.2,2407396,Denis Villeneuve,127,Germany,1133.68
La La Land,Thriller,2008,6.1,2583295,Peter Jackson,153,USA,2798.38
Doctor Strange,Animation,2013,5.7,41554,Steven Spielberg,206,Spain,870.76
Saving Private Ryan,Comedy,1984,7,4979529,Tim Burton,133,Australia,494.15
Ratatouille,Adventure,1981,9,1516888,Steven Spielberg,102,Australia,930.6
The Exorcist,Romance,1988,5.4,522167,Ridley Scott,145,Japan,1362.27
Inside Out,Comedy,1989,8.8,4234517,Sam Raimi,203,Spain,1330.07
Justice League,Drama,1993,6.1,3972993,Ridley Scott,91,UK,239.2
Coco,Sci-Fi,2018,9.2,1294731,Denis Villeneuve,185,USA,1672.18
Dune,Thriller,2002,8.3,1961374,Martin Scorsese,88,Canada,1298.03
Iron Man,Thriller,1992,8.1,4510343,Robert Zemeckis,201,France,1685.07
The Lion King,Drama,2014,7.9,3322469,Ridley Scott,184,Spain,1341.83
Dunkirk,Comedy,2010,9.2,3320709,Robert Zemeckis,85,Japan,114.73
Captain America: Civil War,Thriller,1991,6.5,3622797,Denis Villeneuve,87,USA,2265.8
Logan,Action,2007,9.6,563947,Ridley Scott,201,Spain,2302.7
Captain America: Civil War,Romance,1987,8,2951795,Patty Jenkins,135,Japan,1879.09
Wonder Woman,Animation,1985,5.2,4601191,Denis Villeneuve,116,South Korea,2480.41
Man of Steel,Drama,2003,6.1,2773758,Zack Snyder,105,Germany,254.97
Barbie,Comedy,1994,6.6,68043,Peter Jackson,198,Germany,2392.85
The Matrix,Action,2021,7.5,4544803,Patty Jenkins,113,Germany,62.64
The Exorcist,Comedy,2003,9.6,4544862,Martin Scorsese,106,Spain,1740.38
It,Sci-Fi,2006,7.7,3532524,Ridley Scott,151,South Korea,2222.72
Black Panther,Sci-Fi,2004,8.5,1558070,Sam Raimi,101,Spain,2521.75
Inception,Thriller,2003,8.2,4686841,Patty Jenkins,83,Spain,2676.94
Schindler's List,Animation,2021,4.8,347852,Robert Zemeckis,141,Japan,881.09
Coco,Horror,1998,7.6,1924273,Patty Jenkins,133,India,2023.42
The Ring,Drama,1999,6.5,1113707,Ridley Scott,120,UK,1831.23
Memento,Horror,1983,9.7,2363263,Ryan Coogler,104,India,2211.67
Tenet,Romance,1995,5.1,1393908,Zack Snyder,195,Spain,99.46
Ratatouille,Sci-Fi,2023,8.4,525946,Peter Jackson,193,France,24.76
The Revenant,Sci-Fi,2009,7.5,1691665,Christopher Nolan,164,France,376.47
Kung Fu Panda,Action,2000,6.5,2770207,Patty Jenkins,116,France,2321.21
Twilight,Romance,2006,5.6,4067901,Sam Raimi,176,Japan,2460.98
Toy Story,Thriller,2015,8.3,958215,Quentin Tarantino,87,Germany,1434.92
Zootopia,Drama,2021,5.2,1758470,Sam Raimi,93,USA,1437.02
Zootopia,Drama,2015,8.3,3743228,Steven Spielberg,177,Canada,1866.9
Insidious,Fantasy,2007,5.7,3228880,Greta Gerwig,86,France,420.18
Moana,Romance,2015,9.2,4183221,Tim Burton,202,France,578.92
Inside Out,Sci-Fi,2005,6.6,2168917,Patty Jenkins,80,India,572.71
Justice League,Fantasy,2019,7.6,2720193,Patty Jenkins,190,South Korea,1180.95
Joker,Comedy,1993,7.6,4763580,Denis Villeneuve,92,USA,412.48
Superman,Fantasy,2015,4.7,1410793,Greta Gerwig,144,South Korea,1869.59
12 Years a Slave,Comedy,2010,4.6,710933,Ridley Scott,207,Australia,1334.21
Venom,Thriller,1984,4.6,2256762,Peter Jackson,113,Canada,2754.2
Frozen,Adventure,1988,6.5,1998877,Peter Jackson,195,Spain,816.26
Birdman,Animation,2017,8.2,3312127,Denis Villeneuve,145,India,2608.62
Aquaman 2,Comedy,1994,7.9,4153250,Patty Jenkins,137,Japan,2039.27
Zootopia,Comedy,2007,9.2,3858666,Steven Spielberg,86,Japan,1919.14
Parasite,Drama,2020,6.3,4472387,Martin Scorsese,83,USA,2380.23
The Incredibles,Sci-Fi,1986,8.3,1749336,Sam Raimi,198,India,1814.26
Kung Fu Panda,Fantasy,2018,9,3068773,Martin Scorsese,162,Japan,1086.34
Frozen II,Fantasy,2007,5.1,1288590,Zack Snyder,166,South Korea,533.59
The Godfather,Action,1993,7.3,4002244,Peter Jackson,199,Canada,2400.36
Goodfellas,Action,1984,8.1,1569655,Martin Scorsese,96,South Korea,2361.51
Superman,Sci-Fi,2005,6.7,2022297,Denis Villeneuve,99,Spain,2367.35
Deadpool,Drama,2020,5.7,1331540,Quentin Tarantino,189,Australia,1329.95
Wonder Woman,Horror,2020,5.2,870164,Robert Zemeckis,206,India,441.43
Wonder Woman,Horror,2003,9.2,390806,Quentin Tarantino,200,India,1990.93
Wall-E,Drama,2016,8.2,4723563,Greta Gerwig,186,Australia,1707.49
Man of Steel,Action,2007,6.3,193223,Steven Spielberg,150,Spain,735.82
Man of Steel,Adventure,2002,6.6,2171654,Peter Jackson,176,Germany,675.41
A Quiet Place,Adventure,2001,6.2,4975328,Steven Spielberg,115,Spain,2706.75
It Chapter Two,Comedy,1997,8.1,2889460,Greta Gerwig,106,USA,2728.54
The Hunger Games,Action,1995,7.1,4611945,Patty Jenkins,210,France,1765.07
Iron Man,Horror,2008,7.2,4319417,Ridley Scott,154,France,1848.86
Inception,Horror,1997,6.3,2648797,Zack Snyder,83,South Korea,399.69
Logan,Adventure,1981,7.5,1595274,Sam Raimi,193,Japan,346.66
A Quiet Place,Adventure,1989,8.4,271724,Greta Gerwig,134,USA,1626.72
Inglourious Basterds,Animation,2012,7.5,358269,Tim Burton,114,Australia,845.59
Coco,Romance,1995,7.4,4241916,Ryan Coogler,146,Spain,1349.41
Oppenheimer,Fantasy,2001,6.1,2782566,Martin Scorsese,184,USA,1570.62
Wonder Woman,Thriller,1981,5.3,507665,Greta Gerwig,96,Australia,2411.27
Hereditary,Romance,2017,6.8,2575848,Patty Jenkins,205,Australia,1358.41
Gladiator,Romance,2002,8.2,1557850,Patty Jenkins,180,Spain,1049.3
Frozen II,Adventure,1997,8.5,1989936,Steven Spielberg,115,USA,2013.92
Dunkirk,Thriller,1989,9.7,111743,Christopher Nolan,98,France,171.24
La La Land,Fantasy,2016,9,2525951,Ryan Coogler,184,France,2407.45
The Dark Knight,Sci-Fi,2013,4.8,4583251,Christopher Nolan,152,Spain,1602.66
Aquaman 2,Drama,2014,7.8,3792398,Ryan Coogler,199,UK,1619.78
Up,Drama,2016,5.1,2442071,Sam Raimi,163,UK,2359.19
The Flash,Romance,2003,8.5,1425870,Denis Villeneuve,163,France,618.5
Inglourious Basterds,Fantasy,2008,7.4,2027309,Quentin Tarantino,152,France,2253.22
Aquaman 2,Adventure,2019,6.5,930103,Robert Zemeckis,87,Spain,2328.06
Guardians of the Galaxy,Animation,1999,6.9,572440,Peter Jackson,181,USA,2588.93
Luca,Horror,2016,7.4,1165644,Ryan Coogler,162,Australia,629.46
Wonder Woman,Sci-Fi,1990,8.4,2501124,Christopher Nolan,200,UK,505.62
The Departed,Comedy,1991,5.3,1243201,Peter Jackson,155,India,2324.44
The Suicide Squad,Drama,2014,9,4468249,Zack Snyder,207,Japan,437.12
Interstellar,Drama,2005,5.5,1416770,Robert Zemeckis,175,India,1946.15
The Shawshank Redemption,Sci-Fi,2005,7.3,2003041,Steven Spielberg,141,Japan,2463.26
Superman,Drama,2023,5,934855,Robert Zemeckis,150,Japan,2502.6
Captain America: Civil War,Adventure,2001,8.6,2476231,Ridley Scott,194,Canada,1946.63
Luca,Sci-Fi,1999,8.6,4006727,Quentin Tarantino,126,Canada,38.49
Shutter Island,Horror,2005,8.9,3445577,Quentin Tarantino,82,USA,2072.38
Aquaman 2,Adventure,1984,7,837795,James Cameron,167,UK,306.87
Deadpool,Comedy,1995,7.6,4893758,Robert Zemeckis,108,South Korea,280.81
The Suicide Squad,Action,2006,7.5,4374832,Denis Villeneuve,138,South Korea,923.02
The Revenant,Drama,2023,9.7,4012917,Tim Burton,176,Spain,938.29
The Incredibles,Fantasy,2000,5.7,3132866,Greta Gerwig,191,India,2646.49
Coco,Fantasy,2017,9.3,3168712,Christopher Nolan,85,Canada,546.55
Moana,Action,2023,9.5,1215926,Ridley Scott,182,India,735.18
Kung Fu Panda,Sci-Fi,1997,6.1,4868012,Peter Jackson,168,UK,1848.81
Aquaman 2,Drama,2013,4.5,521653,Christopher Nolan,147,UK,1103.7
Django Unchained,Thriller,2020,4.7,1085087,Ridley Scott,205,France,1667.03
Toy Story,Animation,2022,5.4,4996647,Zack Snyder,186,Spain,2758.73
The Flash,Action,1989,9.5,3914773,Martin Scorsese,180,USA,2454.42
Catch Me If You Can,Sci-Fi,2022,7.2,4231146,Tim Burton,152,Germany,2171.1
A Quiet Place,Thriller,2019,7.2,4659673,Greta Gerwig,197,Germany,1364.39
Dune,Thriller,2004,8.7,3051125,James Cameron,124,France,2376.05
Barbie,Romance,1990,7.1,1183082,Ridley Scott,175,UK,359.79
Dune,Thriller,2021,8,3506412,Quentin Tarantino,191,South Korea,1996.4
Encanto,Romance,1993,4.8,4736933,Greta Gerwig,109,France,1739.22
The Departed,Drama,1993,7.2,3613099,Martin Scorsese,81,France,681.74
Justice League,Comedy,1989,8.7,2598767,Peter Jackson,117,USA,1539.45
Inglourious Basterds,Adventure,1994,7.9,4805161,Greta Gerwig,127,USA,1664.98
Man of Steel,Horror,2005,4.8,4713933,Robert Zemeckis,208,USA,2758.81
Joker,Sci-Fi,1989,8.8,1943803,Steven Spielberg,92,India,2666.09
X-Men: Days of Future Past,Action,2009,6.5,3397907,Denis Villeneuve,107,Australia,2333.74
Barbie,Animation,2021,9.4,3162911,Peter Jackson,202,Germany,1379.92
The Flash,Fantasy,2018,6.5,623993,Ryan Coogler,168,Canada,2684.32
Insidious,Romance,2017,6.1,489331,Martin Scorsese,134,Japan,1504.33
It,Horror,2014,8.3,4715033,Ridley Scott,126,Germany,984.75
The Wolf of Wall Street,Romance,1981,7.3,1699289,Patty Jenkins,90,South Korea,1605.92
Man of Steel,Romance,2023,8.3,4217295,Ryan Coogler,104,South Korea,769.83
Tenet,Horror,1984,9.1,706413,Steven Spielberg,107,France,533.77
Aquaman,Action,2022,5.6,4892432,Martin Scorsese,187,Canada,995.66
Finding Nemo,Comedy,2003,6.6,3742970,Christopher Nolan,166,Spain,1402.75
Man of Steel,Horror,1982,6.2,1731127,Ridley Scott,132,USA,2443.58
The Departed,Adventure,1990,5.1,3271772,Steven Spielberg,196,USA,1612.18
Inside Out,Horror,2005,7.5,2801538,Tim Burton,161,USA,2787.65
Captain America: Civil War,Sci-Fi,2002,5.6,3480489,Ryan Coogler,123,Australia,2764.37
Tenet,Horror,2015,6.9,1227641,Ryan Coogler,104,India,1491.09
Inception,Drama,1985,5,4399481,James Cameron,128,Canada,1550.18
Shutter Island,Animation,1995,7.6,3284392,Greta Gerwig,182,USA,2785.66
Blade Runner 2049,Romance,2006,9.2,4692400,Steven Spielberg,199,Japan,361.03
The Prestige,Romance,2005,5.4,2964054,Greta Gerwig,143,India,2523.59
The Exorcist,Romance,2014,4.7,4824914,Tim Burton,203,Japan,226.77
Whiplash,Action,1988,7.8,4763092,Quentin Tarantino,93,Spain,1109.74
Toy Story,Thriller,1998,6.1,1371842,Steven Spielberg,171,Japan,104.17
Hereditary,Sci-Fi,2022,8.1,1367511,James Cameron,193,UK,1692.67
Blue Beetle,Drama,1985,9.3,719706,Tim Burton,82,Spain,372.11
Inception,Romance,2021,6.7,3495035,Steven Spielberg,92,Japan,1477.77
Toy Story,Comedy,2007,8.1,1503545,Zack Snyder,205,USA,510.01
Venom,Fantasy,2023,6.3,2757727,Greta Gerwig,136,USA,2583.78
Guardians of the Galaxy,Action,1985,7,315550,Denis Villeneuve,156,Canada,913.11
Goodfellas,Sci-Fi,2018,4.6,4804025,Patty Jenkins,81,France,183.63
Logan,Animation,1990,4.9,2716023,Tim Burton,151,Canada,2249.98
The Suicide Squad,Animation,2011,9.7,1405307,Ryan Coogler,182,South Korea,1599.23
Memento,Adventure,2014,9.6,1569353,Tim Burton,147,South Korea,1277.45
Schindler's List,Fantasy,1999,7.8,1270725,Robert Zemeckis,145,Australia,811.57
Whiplash,Adventure,2013,6.1,676760,Ryan Coogler,189,Australia,931.55
Tenet,Fantasy,2015,4.8,2621622,Tim Burton,95,South Korea,1884.56
Coco,Action,1993,8.3,2601244,Quentin Tarantino,145,Japan,277.66
Hereditary,Drama,1989,7.1,3783356,Patty Jenkins,157,USA,1237.38
Big Hero 6,Animation,2020,8.9,330480,Zack Snyder,195,Japan,1657.4
The Ring,Animation,1987,5.1,4646540,Steven Spielberg,194,India,1955.93
It Chapter Two,Comedy,1992,4.8,219959,Ryan Coogler,117,Canada,1459.26
Schindler's List,Animation,2022,6.7,4281450,Christopher Nolan,113,South Korea,1072.17
Iron Man,Adventure,2013,8.3,3260490,James Cameron,103,Australia,532.63
It,Romance,2001,5.5,4248039,Christopher Nolan,142,South Korea,478.88
Logan,Thriller,1991,9.1,1935349,Quentin Tarantino,128,Spain,598.88
Us,Thriller,1988,9,2721722,Greta Gerwig,209,Australia,2758.14
Mad Max: Fury Road,Adventure,2020,8.7,3294215,Denis Villeneuve,183,Germany,602.58
Django Unchained,Action,2001,5.8,2830244,Greta Gerwig,164,UK,926.5
The Revenant,Romance,1987,8.5,3546094,Steven Spielberg,138,Spain,1477.57
Catch Me If You Can,Romance,2005,9,1519598,Zack Snyder,101,Canada,2046.79
The Incredibles,Drama,2011,5.7,4182754,Patty Jenkins,96,France,1386.94
Soul,Fantasy,2003,7.8,1509530,James Cameron,136,UK,1435.41
Spider-Man: No Way Home,Sci-Fi,2003,9.7,1727455,Peter Jackson,115,USA,63.85
La La Land,Fantasy,2022,6.7,1454425,Ridley Scott,142,UK,1567.26
Get Out,Romance,1982,7.8,4406816,Tim Burton,189,Germany,2689.56
The Prestige,Comedy,2023,7,4647709,Steven Spielberg,152,Australia,1733.51
The Ring,Adventure,2020,5.3,3045801,Robert Zemeckis,124,Germany,1824.36
Dunkirk,Thriller,1997,7.5,3536449,James Cameron,92,South Korea,2775.02
Soul,Romance,2001,7,3800147,Ryan Coogler,170,USA,2509.51
Shang-Chi,Animation,2005,5.5,388937,Patty Jenkins,142,South Korea,206.22
Doctor Strange: Multiverse of Madness,Comedy,1991,6.5,1302691,Robert Zemeckis,84,India,915.13
Interstellar,Action,2005,6.9,4285757,Greta Gerwig,207,Canada,1043.83
Arrival,Comedy,2005,8.2,948690,Zack Snyder,97,Australia,2569.99
The Matrix,Fantasy,1990,6.5,2603030,Denis Villeneuve,199,Japan,1698.35
Spider-Man: No Way Home,Drama,2005,6.5,2606273,Tim Burton,101,South Korea,2012.37
Parasite,Sci-Fi,2018,7.8,4321494,Ryan Coogler,114,UK,1403
"Monsters, Inc.",Drama,2001,8.9,2269123,Ridley Scott,124,Australia,1005.19
A Quiet Place,Horror,2011,5.4,3294046,Peter Jackson,180,France,1628.11
Doctor Strange,Thriller,1989,6.5,3282870,Ridley Scott,123,Japan,465.3
Fight Club,Action,2023,8.9,3880725,Tim Burton,203,France,930.91
The Revenant,Animation,2006,7.4,2640664,Ryan Coogler,96,France,1102.14
The Social Network,Action,1981,6.9,450233,Peter Jackson,94,Germany,2118.3
Kung Fu Panda,Fantasy,1998,8.2,3486833,Martin Scorsese,81,Japan,2624.81
The Shawshank Redemption,Sci-Fi,2011,5,3970561,Peter Jackson,136,USA,1299.51
La La Land,Sci-Fi,2013,8.8,2487315,Ridley Scott,167,Canada,324.45
Interstellar,Adventure,1993,8.1,2869241,Christopher Nolan,175,Australia,161.15
Thor: Ragnarok,Fantasy,1995,5.9,729292,Sam Raimi,164,South Korea,2710.12
Forrest Gump,Sci-Fi,1998,5.5,196829,Ridley Scott,163,Australia,1633.22
Eternals,Horror,2011,8.1,4669368,Steven Spielberg,163,USA,2649.34
Fight Club,Action,2001,8.1,4336056,Ridley Scott,179,Japan,1809.55
Guardians of the Galaxy,Comedy,2000,7.6,2904641,Christopher Nolan,158,Japan,2706.31
Captain America: Civil War,Comedy,2005,7.4,1730299,Ryan Coogler,130,South Korea,1108.99
Coco,Fantasy,2006,7.9,2229780,Robert Zemeckis,194,UK,2483.04
Shutter Island,Drama,2001,6.2,1462329,Quentin Tarantino,88,South Korea,1067.61
The Flash,Animation,1987,6.5,1453713,Patty Jenkins,175,Japan,2603.38
Fight Club,Adventure,2020,7,4449838,Tim Burton,97,India,269.74
Inglourious Basterds,Sci-Fi,1988,9.4,1246438,Steven Spielberg,200,Canada,299.71
Blue Beetle,Sci-Fi,1980,7,4156343,Ryan Coogler,182,Japan,556.36
Encanto,Sci-Fi,1994,5.1,1656148,Ryan Coogler,196,UK,1250.11
The Hunger Games,Romance,1984,8.4,3727639,Martin Scorsese,182,Japan,2094.72
Inglourious Basterds,Adventure,2008,9,2002728,Greta Gerwig,168,Japan,2258
Divergent,Animation,1981,8,4467421,Steven Spielberg,84,France,1615.33
The Godfather,Adventure,2011,7.1,4252321,Denis Villeneuve,88,Germany,2561.06
The Departed,Animation,2012,6.2,4026955,Zack Snyder,160,France,1663.67
Mad Max: Fury Road,Thriller,1986,9.4,2334899,Ryan Coogler,169,USA,2104.61
Whiplash,Romance,1981,5.9,3116520,Tim Burton,190,Canada,4.42
